time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,HV
1604570400,79.41199999999999,79.704,79.228,79.461,46652,37029.65,56.85282408361546,56.94572682281658,NaN,NaN,4.510281224484355
1604581200,79.461,79.613,79.291,79.542,59057,39322.2,59.21223090797439,57.0613343771244,NaN,NaN,4.490858393969618
1604592000,79.542,79.56099999999999,79.372,79.40599999999999,31340,40397.35,53.884381611584985,56.77589482139915,NaN,NaN,4.520943853798501
1604602800,79.40599999999999,79.444,79.258,79.30199999999999,33477,40779.15,50.166995165512475,56.242063757086214,NaN,NaN,3.2856915401460287
1604613600,79.30199999999999,79.368,79.14,79.294,23304,40770.6,49.88192005521908,55.980240537799986,NaN,NaN,3.2534345541087535
1604624400,79.294,79.312,78.955,78.97999999999999,31218,40310.45,40.22100121541361,54.76726930811497,NaN,NaN,3.3794640624231644
1604635200,78.97999999999999,79.185,78.973,79.13199999999999,19380,39850.4,45.703123765371494,54.03009825081097,NaN,NaN,2.9060753014493566
1604646000,79.13199999999999,79.30499999999999,79.06,79.088,30837,40355.75,44.432847962720984,52.84159999260032,NaN,NaN,2.9087433551405613
1604656800,79.088,79.12899999999999,78.99499999999999,79.057,29839,39248.5,43.515177815514875,51.500554626203254,NaN,NaN,2.9062724880031445
1604667600,79.057,79.39,78.98899999999999,79.271,68307,37276.1,51.03346017509484,50.96377795237106,NaN,NaN,3.1467772021535882
1604678400,79.271,79.333,79.204,79.256,25769,35858.25,50.52581256955493,50.685616522858865,NaN,NaN,3.0611908940168475
1604689200,79.256,79.27,79.094,79.11099999999999,15088,33689,45.784612361785,50.1494609068942,NaN,NaN,3.0347667662079325
1604872800,79.17,79.351,79.079,79.33099999999999,19326,32467.55,52.99211862132374,49.97215943844532,NaN,NaN,3.2667070783798673
1604883600,79.33099999999999,79.472,79.313,79.46199999999999,19558,30638.15,56.68475492496655,50.06366151683228,NaN,NaN,3.1195023402423234
1604894400,79.46199999999999,79.598,79.43299999999999,79.53099999999999,14101,29369.15,58.532476112571906,50.18363666175775,NaN,NaN,3.126426309070085
1604905200,79.53099999999999,79.695,79.485,79.628,23155,29239.6,61.04802342608403,50.314764698765586,NaN,NaN,3.111616280320114
1604916000,79.628,80.973,79.58999999999999,80.95899999999999,70247,31813.1,79.46034465307837,52.1416192017294,NaN,NaN,7.469564757153173
1604926800,80.95899999999999,81.327,80.887,81.289,106715,36006.6,81.76217190929327,54.39841754057089,NaN,NaN,7.546888651977181
1604937600,81.289,81.42399999999999,81.19,81.20299999999999,49436,37697.45,79.2690004142234,56.49749470907119,NaN,NaN,7.60609751986938
