time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,HV
1605261600,0.55051,0.55096,0.5499,0.55017,391,382.9,45.19272153877744,50.00613514323027,NaN,NaN,2.7787433804978465
1605272400,0.55026,0.55128,0.5499,0.55063,402,383.4,48.279470198666694,50.05958317986285,NaN,NaN,2.2139571648495524
1605283200,0.5505,0.55137,0.5499,0.55092,395,384.8,50.18429130206278,50.112834608702265,NaN,NaN,2.2028038202193514
1605294000,0.55091,0.55136,0.5503,0.55049,346,381.9,47.39690989839006,50.08933685843761,NaN,NaN,2.2144260391040445
1605477600,0.551,0.5518,0.55002,0.5513,368,380.65,52.72378537974487,50.48067055899532,NaN,NaN,2.229220336215944
1605488400,0.55156,0.55191,0.5505,0.5505,376,378.95,47.5971557736004,49.97509400538421,NaN,NaN,2.2709679535685154
1605499200,0.55081,0.55137,0.5504,0.55127,365,378.35,52.39517267510133,49.85530785591144,NaN,NaN,2.3360251270507812
1605510000,0.55117,0.55319,0.5508,0.553,358,378.7,61.028758597427505,49.87020462667869,NaN,NaN,2.6514627808759488
1605520800,0.55309,0.55414,0.5521,0.5539,396,380.45,64.62326348130776,50.652259524874175,NaN,NaN,2.7096006360244846
1605531600,0.55409,0.55565,0.5528,0.5552,407,382.1,69.06211827988867,52.0143200277531,NaN,NaN,2.809426075045018
1605542400,0.5554,0.55569,0.5537,0.5539,379,382.05,60.840944930416455,52.77435230002122,NaN,NaN,3.031892826963975
1605553200,0.55417,0.5547,0.5538,0.554,358,380.8,61.22333420757796,53.725843979561525,NaN,NaN,2.8826130637046274
1605564000,0.5543,0.5544,0.5529,0.55396,377,379.65,60.96687863678379,54.84452338147101,NaN,NaN,2.8802690437210448
1605574800,0.55394,0.55398,0.553,0.5533,360,378.15,56.74331998313575,55.58986606306296,NaN,NaN,2.732108186408833
1605585600,0.55353,0.55376,0.5531,0.55356,343,375.9,57.97833412340734,56.503124104822234,NaN,NaN,2.5544611605696828
