time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,HV
1656072000,1.67219,1.67369,1.67117,1.67142,2079,1626.6,41.64425499080054,43.24041929887304,NaN,NaN,1.3946550869462433
1656075600,1.67142,1.67604,1.6707,1.6757,3952,1691.45,53.31919856596268,44.00998514574805,NaN,NaN,1.7939070131289514
1656079200,1.6757,1.67618,1.66903,1.67018,9665,2075.65,41.724858441908964,44.15935208822681,NaN,NaN,2.2487855826076393
1656082800,1.67018,1.6708,1.66775,1.66798,1920,2113.05,38.163025790854206,43.7565233164608,NaN,NaN,2.283330792475078
1656086400,1.66798,1.66957,1.66782,1.66873,1232,2130.2,40.04211840226041,43.254517499091534,NaN,NaN,2.2371357350255443
1656090000,1.66873,1.66983,1.66855,1.66914,978,2145,41.0959051144839,43.00818937851488,NaN,NaN,2.2457500467986518
1656093600,1.66914,1.67017,1.66908,1.66972,1432,2145.7,42.63195495842252,43.0959692840476,NaN,NaN,2.23684156880024
1656097200,1.66972,1.67009,1.66874,1.66954,711,2090.35,42.26360926301218,42.91171963158957,NaN,NaN,2.2303412920367403
1656100800,1.66954,1.67278,1.66932,1.672,1363,1971.1,48.777339491250274,43.358441911204075,NaN,NaN,2.297368708202886
1656277200,1.672,1.67322,1.6701,1.6712,473,1845.35,46.923344079182826,43.79856242682251,NaN,NaN,2.268349755933918
1656280800,1.6712,1.67148,1.66963,1.6712,1988,1879.7,46.923344079182826,43.81135152162421,NaN,NaN,2.2391377315924914
1656284400,1.6712,1.67389,1.6708,1.67358,2391,1948.3,53.0769930474191,44.57415008176197,NaN,NaN,2.3120295145491534
1656288000,1.67358,1.6762,1.67264,1.67468,2306,2015.75,55.63705205211918,45.40593269393231,NaN,NaN,2.293260824202364
1656291600,1.67468,1.67487,1.67307,1.6742,2096,2073.8,54.246244461077545,46.17637448128117,NaN,NaN,2.2780920167021543
1656295200,1.6742,1.67467,1.6725,1.67393,2000,2093.3,53.437050504132415,47.018717017947736,NaN,NaN,2.2615926773773363
1656298800,1.67393,1.67565,1.67334,1.67378,1266,2060,52.964357860512,46.99337125327269,NaN,NaN,2.2502799124667057
1656302400,1.67378,1.6755,1.67336,1.67338,1252,2030,51.652222046145646,47.70246865357531,NaN,NaN,2.191394076758161
1656306000,1.67338,1.67416,1.67099,1.67144,2286,2089.45,45.73436881486951,48.24327886957641,NaN,NaN,2.1896962323836715
1656309600,1.67144,1.6754,1.67128,1.67491,3579,2214.3,55.54520863783165,49.3506424578315,NaN,NaN,2.35364073221471
1656313200,1.67491,1.67715,1.67322,1.67694,1995,2248.2,60.090942864796666,50.70743086856812,NaN,NaN,2.398063731337743
1656316800,1.67694,1.67745,1.67353,1.67379,1326,2210.55,51.32129302114772,51.32809787304849,NaN,NaN,2.5322424392241287
1656320400,1.67379,1.6765,1.67379,1.67519,1186,2072.25,54.49956424527547,52.20209465749587,NaN,NaN,2.31596037815643
1656324000,1.67519,1.67687,1.6741,1.67634,1147,1646.35,56.98404685095685,52.78828804033206,NaN,NaN,1.82753137701095
1656327600,1.67634,1.67975,1.67586,1.67837,1041,1602.4,61.02926445406091,53.79585378139478,NaN,NaN,1.749830052832769
1656331200,1.67837,1.68074,1.6776,1.67776,1578,1619.7,59.22687097522238,54.67467713111189,NaN,NaN,1.7706637326190298
1656334800,1.67776,1.67814,1.67585,1.67711,1980,1669.8,57.28543145860881,54.975279874768304,NaN,NaN,1.7917424089674305
1656338400,1.67711,1.679,1.67602,1.67793,2531,1724.75,59.106573247348074,55.223102817284655,NaN,NaN,1.7942811923429087
1656342000,1.67793,1.67928,1.67691,1.67825,1818,1780.1,59.826402138128955,55.621685508502615,NaN,NaN,1.7878553605016627
1656345600,1.67825,1.68136,1.67804,1.67996,1276,1775.75,63.521636059660025,56.342013048183155,NaN,NaN,1.7410614476050472
1656349200,1.67996,1.68092,1.6792,1.68072,2505,1877.35,65.05988865982904,57.2059795338487,NaN,NaN,1.7141280526035478
1656352800,1.68072,1.68178,1.68047,1.68102,1596,1857.75,65.67519686550565,58.20762059237442,NaN,NaN,1.7103378473628696
1656356400,1.68102,1.68211,1.68051,1.68143,2253,1850.85,66.54237986192999,59.69390709573588,NaN,NaN,1.637040119880987
1656360000,1.68143,1.68147,1.67895,1.67958,1240,1797.55,59.26651470001186,59.95971467160589,NaN,NaN,1.7158707064014997
1656363600,1.67958,1.68022,1.67926,1.67954,593,1722.4,59.11600505316845,59.890076256489586,NaN,NaN,1.707241402270871
1656367200,1.67954,1.68069,1.6782,1.68043,1594,1702.1,61.46114342265273,60.61435128516852,NaN,NaN,1.7078130486772791
1656370800,1.68043,1.68144,1.68001,1.68138,1514,1714.5,63.84511159935894,61.281890381888765,NaN,NaN,1.7097453813305412
1656374400,1.68138,1.68145,1.67823,1.67846,2594,1781.6,52.99404086889938,60.996889954598934,NaN,NaN,1.8888159385230707
1656378000,1.67846,1.68052,1.67732,1.67958,2680,1801.3,56.07759058087453,60.64319896365705,NaN,NaN,1.8087915477212857
1656381600,1.67958,1.68108,1.67906,1.68056,1541,1699.4,58.634576004644096,60.60089218004432,NaN,NaN,1.631184414405446
1656385200,1.68056,1.68164,1.67879,1.67928,1585,1678.9,54.19662109953695,60.380262868682046,NaN,NaN,1.6076993770278543
1656388800,1.67928,1.68078,1.67919,1.6803,1109,1668.05,56.9902631960559,60.229097865018325,NaN,NaN,1.3737075598244077
1656392400,1.6803,1.68204,1.67993,1.68076,1293,1673.4,58.227647289958966,60.11490109014904,NaN,NaN,1.3454099311887118
